id,ticker,alert_iso,alert_price,hits
PRC-CRWV-1755197509,CRWV,2025-08-14T18:51:49.333021+00:00,103.4600,-1
PRC-SRFM-1755197509,SRFM,2025-08-14T18:51:49.333021+00:00,4.6000,-1
HYPE-US-1755783562,US,2025-08-21T13:39:22.774002+00:00,0.0000,14
HYPE-LEAPS-1755783562,LEAPS,2025-08-21T13:39:22.774002+00:00,0.0000,3
HYPE-MIT-1755783562,MIT,2025-08-21T13:39:22.774002+00:00,0.0000,3
HYPE-YOLO-1755783562,YOLO,2025-08-21T13:39:22.774002+00:00,3.1880,4
HYPE-LLM-1755783562,LLM,2025-08-21T13:39:22.774002+00:00,0.0000,3
HYPE-ML-1755783562,ML,2025-08-21T13:39:22.774002+00:00,0.0000,3
HYPE-NASA-1755783562,NASA,2025-08-21T13:39:22.774002+00:00,0.0000,3
